,FW,LW,"RW,AM",AM,RW,DM,LB,CB,RB,GK,LM,CM,RM,"CM,RW","LW,RW","RM,LM","RM,CM",WB,"LM,FW","CM,RM","LW,LM","RW,RM","CB,CM","AM,FW","FW,LW","CM,DM","DM,CM","WB,LB","WB,RB","LW,AM","DM,RM","LM,RM","LB,CB","RM,CB,LM","FW,AM","RW,RB","RM,CB","FW,CM","LW,FW","RW,WB","RW,LB,WB","CM,LM,DM","CM,RM,AM","CB,RB","LW,FW,RW","CM,FW","RW,RM,AM","AM,LW","LM,LW","FW,LM","AM,CM","RB,LM","LM,LB","RM,RB","AM,RM","CM,AM","RW,FW","RW,LW","LW,RB","LM,DM","RM,AM","FW,AM,RW","DM,LM","RM,DM","WB,CM","CB,WB","AM,LM","CB,LB","CM,LM","RB,LB","CM,LW,AM","CM,AM,RW","AM,RW,RM","FW,RW","LB,LM","LB,LW","RB,RW","RW,CM","FW,RM","WB,LB,CB","WB,DM,CM","CB,RB,RW","WB,LW","WB,RW","AM,RW","DM,AM","LW,LB","DM,RW","LM,RW","AM,DM","CM,FW,LM","LM,CM","RM,WB","LB,WB","RB,CB","LM,RB","LW,RM","RM,LW","CB,DM","LW,WB,LM","RW,WB,RM","LM,CM,DM","LW,CB","LW,WB","LM,AM","LW,AM,FW","CM,CB","AM,DM,CM","RM,LB","LB,RB","RW,DM","CB,RW","RB,WB","AM,LM,LW","RW,FW,RM","RB,DM","LW,RW,FW","CM,LB","CM,LW","WB,LB,LM","RM,RW","FW,LW,RW","DM,LW","FW,LM,LW","FW,RM,RB","AM,FW,RM","FW,RB","LM,CB","RM,CM,LM","RB,CM","LB,CM","RW,LM","LM,WB","CM,RM,LB","WB,LB,RB","CM,DM,RM","WB,LW,LM","AM,CM,FW","DM,CB","LB,RM","RW,AM,FW","AM,FW,RW","DM,CM,LM","LW,LM,RW","RM,WB,LB","WB,RM","RW,LM,FW","LW,RW,RM,AM","RW,FW,LM","RM,CM,DM","CM,RB","CM,WB","WB,AM,FW","LW,DM","LB,WB,RB","WB,AM","DM,CM,AM","DM,CM,CB","WB,LW,RW"
Passes progressives reçues,8.7434169550173,23.64043209876543,4.359375,10.453392681538222,24.75811224489796,2.1607100591715973,12.034309087024205,0.48532998018594736,11.515413737155221,0.0,11.253055585078116,2.2918559999999997,9.79863514033064,0.0,16.49,0.0,4.710059171597633,17.938668346985928,0.0,2.8099999999999996,11.355371900826446,19.743055555555557,0.0,14.138888888888888,6.512396694214875,0.628698224852071,2.2644628099173554,25.50617283950617,14.248520710059175,24.22222222222222,13.0,10.25,4.222222222222221,0.0,15.36,0.0,0.0,3.5510204081632657,28.264462809917347,0.0,1.0,0.0,0.0,2.16,0.0,3.555555555555556,0.0,3.84,8.359375,0.0,11.75,0.0,0.0,4.666666666666667,8.666666666666666,4.472222222222222,34.48979591836734,6.888888888888889,0.25,2.888888888888889,1.0,0.0,0.25,9.6875,0.0,0.0,5.222222222222222,1.472222222222222,5.728395061728396,6.239999999999999,0.0,0.0,0.0,1.3877551020408163,1.5555555555555554,4.0,2.0,3.555555555555556,4.222222222222222,0.0,0.0,0.0,16.0,0.0,9.239669421487603,3.3600000000000003,16.0,0.0,9.0,0.0,0.0,7.283950617283951,0.0,1.5,18.247933884297524,0.0,0.0,11.6875,0.0,0.0,0.0,11.1875,0.0,1.0,0.25,4.0,0.0,0.0,0.0,10.888888888888891,6.25,0.0,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartons jaunes_y,0.09000000000000001,0.1232638888888889,0.1875,0.0667667305004917,0.05387755102040817,0.16899408284023668,0.089557705808736,0.12593354671543971,0.1721200648999459,0.03821687581990544,0.09246466149431394,0.14510399999999998,0.12543252595155716,0.0,0.09000000000000001,0.0,0.17751479289940827,0.1617307288384794,0.0,0.09000000000000001,0.14876033057851237,0.1875,0.1875,0.07638888888888887,0.0,0.10207100591715977,0.18365472910927455,0.0,0.07100591715976333,0.0,0.13888888888888892,0.0,0.13888888888888892,0.0,0.0,0.0,0.0,0.12244897959183677,0.14876033057851235,0.0,0.0,0.0,0.0,0.09000000000000001,0.0,0.0,0.0,0.16000000000000003,0.0,0.0,0.109375,0.0,0.0,0.0,0.0,0.0,0.12244897959183677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13888888888888892,0.13888888888888892,0.0,0.0,0.0,0.0,0.0,0.12244897959183677,0.0,0.25,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1983471074380165,0.0,0.25,0.0,0.0,0.0,0.0,0.1728395061728395,0.25,0.109375,0.1983471074380165,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartons rouges_y,0.0029325259515570927,0.006896219135802472,0.0,0.0,0.0,0.007633136094674557,0.0,0.004098291249640129,0.0,0.0,0.0,0.0039840000000000006,0.0,0.0,0.0,0.0,0.0,0.014282713715605962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deuxième carton jaune,0.0,0.006896219135802472,0.0,0.0,0.0,0.0,0.0,0.002053379396772173,0.0,0.0,0.0,0.0039840000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fautes commises,0.9292733564013842,0.7788869598765432,1.734375,0.8061694529268671,0.5926530612244897,1.3567455621301778,0.7942980983486464,0.7253806160984945,0.837479718766901,0.01470260637112942,1.0207248379211395,0.934416,1.0007689350249906,0.22222222222222224,1.44,0.0,1.14792899408284,0.765385423230414,0.22222222222222224,0.64,0.4132231404958677,2.1875,0.1875,1.0208333333333333,1.0909090909090908,2.2263313609467454,0.5674931129476583,0.2469135802469136,0.6745562130177514,1.5555555555555556,2.138888888888889,0.25,2.222222222222222,0.0,0.89,0.0,0.0,0.2040816326530612,0.4132231404958677,0.25,2.25,0.0,0.0,0.45,0.0,0.0,0.0,0.56,0.25,0.0,0.5,0.0,0.0,0.888888888888889,0.888888888888889,2.0,0.5714285714285714,0.2222222222222222,0.0,0.22222222222222224,0.0,0.0,0.25,1.6875,0.0,0.0,0.22222222222222224,1.25,0.617283950617284,0.8,0.0,0.0,0.0,0.24489795918367346,0.22222222222222224,0.25,0.22222222222222224,1.5555555555555556,0.22222222222222224,0.0,0.0,0.0,0.25,0.0,0.512396694214876,0.6399999999999999,0.0,0.0,0.0,0.0,0.0,0.9876543209876544,0.25,0.1875,1.6528925619834711,0.0,0.0,0.1875,0.0,0.0,0.0,0.1875,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fautes provoquées,1.3179584775086508,1.21484375,1.109375,0.9474664872418609,0.993877551020408,0.5574556213017751,0.727877659412106,0.5648232823587191,0.7506760411032992,0.11128437414915472,1.6490594112020402,0.928144,1.7744136870434453,0.22222222222222224,1.4900000000000002,0.0,0.6390532544378698,0.5675278302877546,0.6666666666666666,0.6,1.8842975206611572,2.6875,0.6875,0.4097222222222221,0.6942148760330578,0.8062130177514792,0.4921946740128558,1.1358024691358024,0.7928994082840237,0.46913580246913583,1.472222222222222,0.5,0.5833333333333334,0.0,1.6900000000000002,0.0,0.0,2.693877551020408,1.0909090909090908,1.0,0.25,0.25,0.0,2.09,0.0,0.22222222222222224,0.0,0.6399999999999999,4.1875,0.0,1.6875,0.0,0.0,0.888888888888889,0.0,1.3333333333333333,0.7755102040816325,0.22222222222222224,0.25,0.888888888888889,0.0,0.0,1.0,1.1875,0.0,0.0,2.138888888888889,0.25,0.6666666666666666,0.64,0.0,0.0,0.0,0.9795918367346937,2.0,0.0,0.0,0.888888888888889,0.22222222222222224,0.0,0.0,0.0,0.25,0.0,0.26446280991735543,0.16000000000000006,0.25,0.0,1.0,0.0,0.0,0.9135802469135803,2.25,0.75,0.9256198347107438,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hors-jeux,0.586461937716263,0.14809992283950618,0.109375,0.15050980798095337,0.2499489795918367,0.022544378698224846,0.05219620890693202,0.022121458449762068,0.04434829637641969,0.0,0.06695716866829632,0.011856000000000002,0.09621299500192233,0.0,0.16000000000000006,0.0,0.07100591715976333,0.14912833438353282,0.22222222222222224,0.09000000000000001,0.14876033057851237,0.07638888888888887,0.0,0.0,0.42975206611570244,0.0,0.0,0.691358024691358,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.8400000000000001,0.0,0.0,0.4897959183673471,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24000000000000005,0.4375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5306122448979591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.6938775510204082,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1983471074380165,0.16000000000000006,0.0,0.0,0.0,0.0,0.0,0.1728395061728395,0.0,0.109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centres_y,0.882863321799308,6.319444444444445,9.4375,6.476165829925987,6.056938775510205,3.7598224852071,5.1986203107353255,0.4296304763840199,9.353265278528934,0.0,3.0929960675948553,2.8391840000000004,4.799788542868128,0.22222222222222224,6.09,0.0,2.059171597633136,6.9745851711825235,0.6666666666666666,4.410000000000001,0.8099173553719006,2.743055555555555,0.0,3.5208333333333335,0.5619834710743802,1.628698224852071,7.329660238751148,5.950617283950617,2.224852071005917,6.4444444444444455,5.888888888888888,2.25,1.25,0.0,7.690000000000002,0.0,0.0,4.53061224489796,1.3388429752066116,0.25,6.25,9.0,0.0,0.44000000000000006,0.0,0.22222222222222224,0.0,2.2399999999999998,2.0,0.25,1.859375,0.0,0.0,6.888888888888889,16.88888888888889,4.555555555555556,1.1020408163265305,0.6666666666666666,0.0,0.888888888888889,0.25,0.0,0.25,2.25,0.0,0.0,1.472222222222222,2.555555555555556,7.358024691358024,3.44,0.0,0.0,0.0,1.836734693877551,0.0,0.0,0.888888888888889,2.8888888888888893,6.222222222222221,0.0,0.0,0.0,25.0,0.0,2.776859504132231,2.5600000000000005,0.0,0.0,0.25,0.0,0.0,8.39506172839506,9.0,6.1875,2.264462809917355,0.0,0.0,4.5,0.0,0.0,0.0,1.1875,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.239999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interceptions,0.11587370242214531,0.3564332561728395,0.484375,0.3392163966668391,0.3777551020408163,1.3600591715976333,1.1900735630780501,1.42097241274196,1.1606273661438617,0.019504467711195263,0.7784036560739718,1.0836640000000002,0.5590157631680122,0.0,0.16000000000000006,0.0,0.4023668639053255,0.6570048309178745,0.0,1.61,0.2314049586776859,0.40972222222222215,1.5,0.13888888888888892,0.0,1.539940828402367,0.6685032139577594,0.7654320987654322,1.597633136094675,0.2222222222222222,0.25,0.25,0.47222222222222227,0.0,0.16000000000000006,0.0,0.0,0.0,0.24793388429752064,0.0,0.25,1.0,0.0,1.36,0.0,0.0,0.0,0.16000000000000003,0.1875,0.0,0.1875,0.0,0.0,0.2222222222222222,0.22222222222222224,1.2222222222222223,0.0,0.22222222222222224,0.0,0.888888888888889,0.0,0.0,1.0,0.0,0.0,0.0,0.5833333333333334,0.1388888888888889,0.8888888888888888,2.9600000000000004,0.0,0.0,0.0,0.20408163265306126,0.888888888888889,0.25,0.22222222222222224,0.0,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.9586776859504134,0.0,0.25,0.0,0.0,0.0,0.0,2.7654320987654324,0.25,0.234375,0.7768595041322315,0.0,0.0,0.1875,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,4.222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tacles réussis_y,0.3104757785467128,0.48606288580246904,1.9375,0.5032865793695979,0.6760714285714287,1.566213017751479,1.2676658221666004,0.7313121306033972,1.5534072471606275,0.014702606371129424,1.120416622382825,1.3264,0.8505382545174932,0.888888888888889,0.16000000000000006,0.0,0.3905325443786983,1.209829867674858,0.22222222222222224,1.0,1.7851239669421488,2.6388888888888884,0.6875,1.472222222222222,0.2479338842975206,0.9940828402366864,1.704315886134068,0.2469135802469136,1.8698224852071006,0.46913580246913583,0.8888888888888892,0.1875,0.5555555555555557,0.0,0.8400000000000001,0.0,0.0,0.5306122448979591,2.0661157024793395,0.25,0.25,0.25,0.0,1.6,0.0,0.22222222222222224,0.0,0.24000000000000005,0.734375,0.0,0.75,0.0,0.0,0.22222222222222224,0.22222222222222224,2.805555555555556,0.5306122448979591,0.22222222222222224,0.0,0.888888888888889,0.25,0.0,0.25,1.5,0.0,0.0,0.888888888888889,0.22222222222222224,1.1111111111111112,0.4,0.0,0.0,0.0,0.5714285714285714,0.6666666666666666,0.25,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.0,0.0,0.0,1.0,0.0,0.4132231404958677,0.16000000000000006,0.25,0.0,0.25,0.0,0.0,0.3209876543209877,0.25,0.609375,0.4462809917355371,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.222222222222222,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.16000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pénaltys réussis,0.025769896193771617,0.0,0.0,0.007142487448889808,0.0,0.0,0.0054943377796770575,0.002053379396772173,0.0,0.0,0.010202997130407052,0.0,0.0,0.0,0.0,0.0,0.0,0.01428271371560596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pénaltys concédés,0.0,0.0,0.0,0.01418146058692614,0.014081632653061227,0.007633136094674557,0.021611061933396417,0.016189943944859352,0.0,0.009851241305908273,0.0,0.0039840000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.029384756657483933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08264462809917354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
But contre son camp,0.0,0.0,0.0,0.0,0.0,0.0,0.01092762736180214,0.018175582990397808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.036982248520710054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13888888888888892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Récupérations de balle,2.165700692041522,5.584876543209877,6.25,5.173748770767559,4.798520408163264,9.55360946745562,7.805317298006778,8.629460278751546,7.964575446187128,1.029627979505458,9.236688277181424,12.551824,7.403402537485585,5.555555555555556,4.040000000000001,0.0,6.792899408284021,5.105650073513967,0.22222222222222224,16.29,6.595041322314051,3.9166666666666665,9.5,3.8888888888888893,2.380165289256198,17.504437869822485,10.552800734618915,3.135802469135802,2.6982248520710064,6.172839506172839,7.138888888888889,4.1875,6.888888888888889,0.0,0.8099999999999999,0.0,0.0,6.204081632653062,4.049586776859505,12.25,0.25,2.25,0.0,7.69,0.0,2.0,0.0,1.8400000000000003,18.9375,0.0,6.109375,0.0,0.0,14.222222222222223,2.0,7.555555555555556,3.2653061224489797,6.888888888888889,0.25,0.8888888888888888,0.25,0.0,0.25,1.6875,0.0,0.0,1.5555555555555556,8.222222222222223,2.3209876543209877,4.959999999999999,0.0,0.0,0.0,3.918367346938776,0.22222222222222224,4.0,4.222222222222222,6.888888888888888,2.888888888888889,0.0,0.0,0.0,1.0,0.0,5.702479338842976,6.640000000000001,1.0,0.0,2.25,0.0,0.0,10.17283950617284,2.25,8.6875,3.504132231404959,0.0,0.0,4.25,0.0,0.0,0.0,6.5,0.0,2.25,0.25,1.0,0.0,0.0,0.0,1.5555555555555554,0.25,0.25,6.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aerials Won,2.4627941176470585,0.8031925154320986,1.109375,0.6891982816624398,0.6481632653061223,1.378698224852071,1.2931839687433229,2.680659282968382,0.9306381828015144,0.31816044157322837,0.8874481879051973,0.936,0.7158785082660515,0.0,0.45,0.0,2.591715976331361,0.9934887628649439,0.888888888888889,0.4,0.24793388429752064,0.9097222222222223,0.1875,0.3888888888888889,1.3388429752066118,1.841715976331361,1.213957759412305,0.6666666666666666,0.7692307692307693,0.3950617283950617,0.22222222222222224,1.5,1.1388888888888888,0.0,3.21,0.0,0.0,0.5306122448979591,1.322314049586777,0.0,0.0,1.0,0.0,3.25,0.0,0.0,0.0,0.64,0.984375,0.0,0.484375,0.0,0.0,0.888888888888889,0.0,0.5555555555555557,1.2653061224489794,0.22222222222222224,0.25,0.22222222222222224,0.25,0.0,0.0,1.6875,0.0,0.0,0.22222222222222224,2.2222222222222223,0.46913580246913583,0.24000000000000005,0.0,0.0,0.0,1.3877551020408165,4.222222222222222,0.0,0.22222222222222224,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.4462809917355371,0.16000000000000006,0.0,0.0,0.0,0.0,0.0,1.7283950617283952,2.25,1.0,0.9917355371900825,0.0,0.0,0.25,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aerials Lost,3.7430709342560555,0.7700617283950617,0.609375,1.1680554836706174,1.425510204081633,1.1266863905325444,1.1937975031287205,1.416399939033684,1.0200108166576525,0.06806762208856217,1.3914337336592624,0.877904,1.4791426374471355,0.22222222222222224,0.45,0.0,1.1715976331360947,1.2329342575089262,0.22222222222222224,1.01,0.4132231404958677,1.0208333333333333,0.1875,0.9722222222222222,1.8181818181818181,0.6982248520710057,1.4233241505968781,1.5802469135802468,1.289940828402367,0.2469135802469136,0.47222222222222215,0.75,0.888888888888889,0.0,5.2,0.0,0.0,0.20408163265306126,1.5371900826446279,0.25,0.0,0.0,0.0,0.6,0.0,0.22222222222222224,0.0,0.16,0.984375,0.0,0.984375,0.0,0.0,0.22222222222222224,2.8888888888888893,0.5833333333333334,0.9795918367346937,0.888888888888889,1.0,0.22222222222222224,0.25,0.0,0.25,0.25,0.0,0.0,0.5555555555555557,0.5555555555555557,0.8888888888888891,0.56,0.0,0.0,0.0,1.6734693877551023,0.22222222222222224,0.25,1.5555555555555556,3.555555555555556,2.0,0.0,0.0,0.0,1.0,0.0,1.702479338842975,1.6,0.25,0.0,0.0,0.0,0.0,0.8888888888888891,0.0,1.0,0.7768595041322315,0.0,0.0,0.25,0.0,0.0,0.0,0.1875,0.0,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
