,Joueur,Numéro de maillot,Nation,Emplacement,Âge,Minutes,Buts,Passes décisives_x,Pénaltys marqués,Pénaltys tirés,Total des tirs ,Shots on Target,Cartons jaunes_x,Cartons rouges_x,Touches_x,Tacles_x,Interceptions_x,Balles contrées_x,xG: Expected Goals,npxG: xG sans les pénaltys,xAG: Expected Assisted Goals_x,Actions menant à un tir,Actions menant à un but,Passes réussies_x,Passes tentées_x,% de passes réussies_x,Passes progressives_x,Balle au pied_x,Possessions progressives_x,Dribbles tentés_x,Dribbles réussis_x,team tag,match tag,player tag,id_team_A,score_team_A,id_team_B,score_team_B,Passes réussies_y,Passes tentées_y,% de passes réussies_y,Distance totale des passes,Distance parcourue vers l'attaque avec les passes,Passes réussies (Court),Passes tentées (Court),% de passes réussies (Court),Passes réussies (Moyen),Passes tentées (Moyen),% de passes réussies (Moyen),Passes réussies (Long),Passes tentées (Long),% de passes réussies (Long),Passes décisives_y,xAG: Expected Assisted Goals_y,xA: Expected Assists,Passes clés,Passes dans le dernier tiers du terrain,Passes dans la surface de réparation,Centres dans la surface de réparation,Passes progressives_y,Passes tentées,Live-ball Passes,Dead-ball Passes,Passes sur coups francs,Passe en profondeur,Transversales,Centres_x,Throw-ins Taken,Corners,Corners rentrants,Corners sortants,Corners droits,Passes réussies,Passes hors-jeux,Passes bloquées_x,Tacles_y,Tacles réussis_x,Tacles (ZDéf),Tacles (MilTer),Tacles (ZOff),Dribbleurs taclés,Dribbles mis en échec,% of Dribblers Tackled,Tacles manqués,Balles contrées_y,Tirs bloqués,Passes bloquées_y,Interceptions_y,Tcl+Int,Dégagements,Erreurs,Touches_y,Touches (SurfRépDéf),Touches (ZDéf),Touches (MilTer),Touches (ZOff),Touches (SurfRépOff),Touches (Ballon vivant),Dribbles tentés_y,Dribbles réussis_y,% de dribbles réussis,Nombre de fois où le joueur a été taclé,Pourcentage de tacles subis lors des tentatives de franchissement,Balle au pied_y,Distance totale parcourue avec le ballon,Distance parcourue vers l'attaque en portant la balle,Possessions progressives_y,Chevauchées dans le dernier tiers,Chevauchées dans la surface de réparation,Mauvais contrôle,Perte de balle,Passes reçues,Passes progressives reçues,Cartons jaunes_y,Cartons rouges_y,Deuxième carton jaune,Fautes commises,Fautes provoquées,Hors-jeux,Centres_y,Interceptions,Tacles réussis_y,Pénaltys réussis,Pénaltys concédés,But contre son camp,Récupérations de balle,Aerials Won,Aerials Lost,% of Aerials Won
22,Jordan Ayew,9,gh GHA,RM,30-338,62,0,0,0,0,0,0,0,0,21,1,1,1,0.0,0.0,0.0,0,0,6,10,60.0,0,6,1,2,2,47c64c55,b3c6f709,da052c14,822bd0ba,1,47c64c55,1,6,10,60.0,69,21,4,4,100.0,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,10,10,0,0,0,0,1,0,0,0,0,0,6,0,1,1,1,0,1,0,0,2,0.0,2,1,0,1,1,2,3,0,21,3,6,12,4,2,21,2,2,100.0,0,0.0,6,34,18,1,1,0,4,2,13,3,0,0,0,0,1,0,1,1,1,0,0,0,3,3,1,75.0
23,Odsonne Édouard,22,fr FRA,RM,24-211,28,0,0,0,0,0,0,1,0,13,1,0,0,0.0,0.0,0.0,0,0,7,9,77.8,1,8,1,1,1,47c64c55,b3c6f709,0562b7f1,822bd0ba,1,47c64c55,1,7,9,77.8,91,28,6,7,85.7,1,2,50.0,0,0,,0,0.0,0.1,0,0,0,0,1,9,9,0,0,0,0,1,0,0,0,0,0,7,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,13,1,2,7,4,1,13,1,1,100.0,0,0.0,8,61,42,1,0,1,2,0,11,2,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,100.0
24,Tyrick Mitchell,3,eng ENG,LB,22-348,78,0,0,0,0,0,0,0,0,45,4,3,1,0.0,0.0,0.0,0,0,19,33,57.6,1,13,1,1,1,47c64c55,b3c6f709,5cbd1eb0,822bd0ba,1,47c64c55,1,19,33,57.6,251,176,14,17,82.4,3,9,33.3,1,5,20.0,0,0.0,0.0,0,2,1,0,1,33,27,6,0,0,0,2,6,0,0,0,0,19,0,2,4,4,4,0,0,3,4,75.0,1,1,0,1,3,7,2,0,45,3,26,16,3,0,45,1,1,100.0,0,0.0,13,69,42,1,1,0,2,1,22,2,0,0,0,0,0,0,2,3,4,0,0,0,6,0,1,0.0
25,Chris Richards,26,us USA,RB,22-140,12,0,0,0,0,1,0,0,0,13,0,1,2,0.1,0.1,0.3,1,0,4,5,80.0,0,3,0,0,0,47c64c55,b3c6f709,0a3d6d2b,822bd0ba,1,47c64c55,1,4,5,80.0,41,20,4,5,80.0,0,0,,0,0,,0,0.3,0.0,1,0,0,0,0,5,4,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,2,1,1,1,1,4,0,13,5,6,2,5,1,13,0,0,,0,,3,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,100.0
26,Marc Guéhi,6,eng ENG,CB,22-033,90,0,0,0,0,0,0,0,0,32,1,2,2,0.0,0.0,0.0,1,0,15,22,68.2,1,6,0,0,0,47c64c55,b3c6f709,d0706b27,822bd0ba,1,47c64c55,1,15,22,68.2,297,150,8,11,72.7,6,7,85.7,1,4,25.0,0,0.0,0.0,1,0,0,0,1,22,20,2,2,0,0,0,0,0,0,0,0,15,0,0,1,0,1,0,0,1,3,33.3,2,2,2,0,2,3,6,0,32,11,29,3,1,1,32,0,0,,0,,6,29,23,0,0,0,0,1,10,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,
27,Joachim Andersen,16,dk DEN,CB,26-076,90,0,0,0,0,1,0,1,0,48,1,3,4,0.3,0.3,0.0,0,0,18,27,66.7,0,15,0,0,0,47c64c55,b3c6f709,e34fc66d,822bd0ba,1,47c64c55,1,18,27,66.7,361,156,6,6,100.0,9,11,81.8,3,8,37.5,0,0.0,0.0,0,0,0,0,0,27,26,0,0,0,0,0,0,0,0,0,0,18,1,1,1,0,1,0,0,1,1,100.0,0,4,4,0,3,4,10,0,48,27,40,7,1,1,48,0,0,,0,,15,100,55,0,0,0,0,0,18,0,1,0,0,0,1,0,0,3,0,0,0,0,5,2,0,100.0
28,Joel Ward,2,eng ENG,CB,32-290,90,0,0,0,0,0,0,1,0,47,4,1,2,0.0,0.0,0.0,0,0,17,34,50.0,1,10,0,0,0,47c64c55,b3c6f709,8a7ff278,822bd0ba,1,47c64c55,1,17,34,50.0,291,126,8,9,88.9,7,11,63.6,2,13,15.4,0,0.0,0.0,0,0,0,0,1,34,33,1,1,0,0,0,0,0,0,0,0,17,0,0,4,2,4,0,0,1,1,100.0,0,2,2,0,1,5,6,0,47,12,34,12,1,0,47,0,0,,0,,10,34,20,0,0,0,0,0,20,1,1,0,0,3,0,0,0,1,2,0,0,0,5,5,1,83.3
29,Nathaniel Clyne,17,eng ENG,"RB,LB",31-132,90,0,0,0,0,0,0,0,0,45,3,2,1,0.0,0.0,0.0,1,0,23,36,63.9,2,10,1,0,0,47c64c55,b3c6f709,0442183b,822bd0ba,1,47c64c55,1,23,36,63.9,365,229,12,18,66.7,9,14,64.3,2,4,50.0,0,0.0,0.0,0,2,0,0,2,36,26,10,0,0,0,2,10,0,0,0,0,23,0,1,3,2,2,0,1,1,4,25.0,3,1,0,1,2,5,1,0,45,2,19,17,9,0,45,0,0,,0,,10,62,25,1,2,0,1,1,18,2,0,0,0,0,0,0,2,2,2,0,0,0,6,1,2,33.3
30,Vicente Guaita,13,es ESP,GK,35-217,90,0,0,0,0,0,0,1,0,42,0,0,0,0.0,0.0,0.0,0,0,32,41,78.0,0,17,0,0,0,47c64c55,b3c6f709,ab13a5aa,822bd0ba,1,47c64c55,1,32,41,78.0,947,705,12,12,100.0,7,7,100.0,13,22,59.1,0,0.0,0.0,0,0,0,0,0,41,23,18,2,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,42,38,42,0,0,0,42,0,0,,0,,17,126,101,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0,Harry Kane,10,eng ENG,FW,29-023,90,1,0,0,0,4,2,1,0,30,0,0,0,0.9,0.9,0.1,4,0,18,22,81.8,5,20,1,1,0,361ca564,5cc3bd0e,21a66f6a,361ca564,1,8cec06e1,0,18,22,81.8,375,165,7,8,87.5,8,8,100.0,3,4,75.0,0,0.1,0.1,2,2,1,1,5,22,20,2,1,0,1,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,30,0,2,10,18,8,30,1,0,0.0,1,100.0,20,98,30,1,1,1,2,2,25,6,1,0,0,0,1,0,1,0,0,0,0,0,3,1,2,33.3
1,Son Heung-min,7,kr KOR,AM,30-043,75,0,0,0,0,3,1,0,0,35,0,1,2,0.3,0.3,0.0,2,1,14,24,58.3,4,16,1,2,0,361ca564,5cc3bd0e,92e7e919,361ca564,1,8cec06e1,0,14,24,58.3,210,64,9,10,90.0,4,8,50.0,1,5,20.0,0,0.0,0.0,0,2,0,0,4,24,17,7,2,0,0,7,0,5,4,1,0,14,0,1,0,0,0,0,0,0,0,,0,2,0,2,1,1,0,0,35,0,1,16,18,5,35,2,0,0.0,2,100.0,16,102,48,1,1,1,1,2,24,6,0,0,0,2,2,0,7,1,0,0,0,0,2,0,0,
2,Richarlison,9,br BRA,"AM,FW",25-102,15,0,0,0,0,1,0,0,0,14,2,0,0,0.1,0.1,0.0,0,0,6,8,75.0,0,10,1,3,2,361ca564,5cc3bd0e,fa031b34,361ca564,1,8cec06e1,0,6,8,75.0,103,35,3,4,75.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,1,0,1,2,2,100.0,0,0,0,0,0,2,0,0,14,0,2,6,6,2,14,3,2,66.7,1,33.3,10,79,34,1,1,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.0
3,Dejan Kulusevski,21,se SWE,AM,22-117,85,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.4,3,0,28,36,77.8,4,35,6,3,1,361ca564,5cc3bd0e,df3cda47,361ca564,1,8cec06e1,0,28,36,77.8,420,135,13,17,76.5,12,14,85.7,1,1,100.0,0,0.4,0.2,3,0,3,1,4,36,35,1,0,0,1,3,0,1,0,0,0,28,0,1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,40,1,2,14,25,5,40,3,1,33.3,2,66.7,35,240,162,6,4,3,2,2,37,12,0,0,0,2,2,0,3,0,0,0,0,0,2,0,1,0.0
4,Yves Bissouma,38,ml MLI,CM,25-355,5,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.1,0,0,0,0,,0,0,0,0,0,361ca564,5cc3bd0e,6c203af0,361ca564,1,8cec06e1,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Rodrigo Bentancur,30,uy URU,CM,25-056,90,0,0,0,0,0,0,0,0,63,2,0,5,0.0,0.0,0.0,0,0,48,52,92.3,6,32,1,1,1,361ca564,5cc3bd0e,3b8674e6,361ca564,1,8cec06e1,0,48,52,92.3,777,278,23,23,100.0,24,26,92.3,1,3,33.3,0,0.0,0.0,0,3,0,0,6,52,50,2,2,0,0,0,0,0,0,0,0,48,0,0,2,2,0,2,0,1,1,100.0,0,5,3,2,0,2,1,0,63,4,16,39,8,0,63,1,1,100.0,0,0.0,32,132,98,1,0,0,1,0,46,2,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,
6,Pierre Højbjerg,5,dk DEN,CM,27-015,90,0,0,0,0,1,1,1,0,84,2,1,3,0.1,0.1,0.0,1,0,66,69,95.7,12,52,1,1,1,361ca564,5cc3bd0e,8b04d6c1,361ca564,1,8cec06e1,0,66,69,95.7,1205,382,31,33,93.9,22,22,100.0,11,11,100.0,0,0.0,0.0,0,11,1,0,12,69,69,0,0,0,2,0,0,0,0,0,0,66,0,0,2,0,1,1,0,1,3,33.3,2,3,2,1,1,3,1,0,84,2,18,48,18,0,84,1,1,100.0,0,0.0,52,260,129,1,2,0,4,1,65,1,1,0,0,1,1,0,0,1,0,0,0,0,6,0,0,
7,Ivan Perišić,14,hr CRO,WB,33-199,75,0,1,0,0,0,0,0,0,50,5,0,0,0.0,0.0,0.9,3,1,27,37,73.0,3,17,3,3,1,361ca564,5cc3bd0e,6fe90922,361ca564,1,8cec06e1,0,27,37,73.0,419,119,16,18,88.9,7,9,77.8,4,8,50.0,1,0.9,0.6,3,0,2,1,3,37,33,4,0,0,0,5,2,2,2,0,0,27,0,2,5,2,2,0,3,2,4,50.0,2,0,0,0,0,5,1,0,50,1,9,13,28,3,50,3,1,33.3,2,66.7,17,95,49,3,0,2,5,1,25,8,0,0,0,2,0,2,5,0,2,0,0,0,5,1,1,50.0
8,Ryan Sessegnon,19,eng ENG,WB,22-094,15,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,7,57.1,0,0,0,0,0,361ca564,5cc3bd0e,6aa3e78b,361ca564,1,8cec06e1,0,4,7,57.1,95,41,0,1,0.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,7,4,3,0,0,0,0,3,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,9,0,1,5,3,1,9,0,0,,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0
9,Emerson,12,br BRA,WB,23-218,90,0,0,0,0,1,0,0,0,71,3,1,2,0.1,0.1,0.0,2,0,47,55,85.5,8,35,3,2,1,361ca564,5cc3bd0e,df8b52a5,361ca564,1,8cec06e1,0,47,55,85.5,768,209,25,25,100.0,20,20,100.0,2,5,40.0,0,0.0,0.0,0,3,1,1,8,55,50,5,0,0,1,5,5,0,0,0,0,47,0,3,3,2,3,0,0,3,3,100.0,0,2,0,2,1,4,1,0,71,9,19,27,25,3,71,2,1,50.0,0,0.0,35,190,104,3,1,0,2,1,44,7,0,0,0,1,1,0,5,1,2,0,0,0,6,1,1,50.0
10,Ben Davies,33,wls WAL,CB,29-118,90,0,0,0,0,0,0,0,0,68,0,0,1,0.0,0.0,0.0,0,0,50,61,82.0,3,44,1,0,0,361ca564,5cc3bd0e,44781702,361ca564,1,8cec06e1,0,50,61,82.0,852,278,25,27,92.6,22,25,88.0,3,6,50.0,0,0.0,0.0,0,2,0,0,3,61,55,5,2,0,0,1,3,0,0,0,0,50,1,1,0,0,0,0,0,0,0,,0,1,1,0,0,0,4,0,68,5,22,37,9,0,68,0,0,,0,,44,189,120,1,2,0,1,0,50,4,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0.0
11,Eric Dier,15,eng ENG,CB,28-217,90,0,0,0,0,0,0,0,0,78,1,1,1,0.0,0.0,0.0,0,0,62,70,88.6,4,47,0,0,0,361ca564,5cc3bd0e,ac861941,361ca564,1,8cec06e1,0,62,70,88.6,1443,588,18,20,90.0,31,32,96.9,13,16,81.3,0,0.0,0.0,0,2,0,0,4,70,69,0,0,0,0,0,0,0,0,0,0,62,1,1,1,0,1,0,0,1,1,100.0,0,1,1,0,1,2,4,0,78,10,37,42,1,0,78,0,0,,0,,47,220,114,0,0,0,1,0,57,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,1,0.0
12,Davinson Sánchez,6,co COL,CB,26-069,90,0,0,0,0,1,0,0,0,54,3,0,2,0.2,0.2,0.0,1,0,35,39,89.7,1,26,0,0,0,361ca564,5cc3bd0e,da7b447d,361ca564,1,8cec06e1,0,35,39,89.7,722,157,7,8,87.5,25,25,100.0,3,6,50.0,0,0.0,0.0,0,1,0,0,1,39,38,1,0,0,0,0,1,0,0,0,0,35,0,0,3,2,3,0,0,2,2,100.0,0,2,2,0,0,3,5,0,54,8,29,22,3,3,54,0,0,,0,,26,77,24,0,0,0,1,0,34,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,0,100.0
13,Hugo Lloris,1,fr FRA,GK,35-237,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,1,0,29,35,82.9,0,21,0,0,0,361ca564,5cc3bd0e,8f62b6ee,361ca564,1,8cec06e1,0,29,35,82.9,755,472,6,6,100.0,14,14,100.0,9,15,60.0,0,0.0,0.0,0,1,0,0,0,35,26,9,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,35,29,35,0,0,0,35,0,0,,0,,21,144,91,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
14,Gonçalo Guedes,17,pt POR,FW,25-264,80,0,0,0,0,5,1,0,0,32,0,0,1,0.2,0.2,0.1,6,0,19,22,86.4,2,14,3,2,0,8cec06e1,5cc3bd0e,e6bc67d7,361ca564,1,8cec06e1,0,19,22,86.4,327,44,12,13,92.3,3,4,75.0,3,3,100.0,0,0.1,0.1,3,1,1,0,2,22,21,1,0,0,1,1,0,1,0,0,1,19,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,32,0,1,12,19,4,32,2,0,0.0,2,100.0,14,84,63,3,3,0,1,0,25,9,0,0,0,0,4,0,1,0,0,0,0,0,3,0,1,0.0
15,Hwang Hee-chan,11,kr KOR,FW,26-206,10,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,1,4,2,0,0,8cec06e1,5cc3bd0e,169fd162,361ca564,1,8cec06e1,0,3,5,60.0,43,16,1,1,100.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,1,0,1,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,1,1,5,0,7,0,0,,0,,4,88,53,2,1,0,1,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
16,Daniel Podence,10,pt POR,FW,26-303,58,0,0,0,0,1,0,0,0,28,1,2,0,0.1,0.1,0.2,2,0,15,21,71.4,4,8,1,1,0,8cec06e1,5cc3bd0e,7fcc71d8,361ca564,1,8cec06e1,0,15,21,71.4,215,59,7,9,77.8,5,6,83.3,2,3,66.7,0,0.2,0.0,2,2,1,0,4,21,20,1,0,0,0,0,0,0,0,0,0,15,0,1,1,1,1,0,0,0,0,,0,0,0,0,2,3,0,0,28,0,3,14,11,1,28,1,0,0.0,1,100.0,8,35,12,1,0,0,0,0,18,2,0,0,0,0,2,0,0,2,1,0,0,0,1,1,0,100.0
17,Raúl Jiménez,9,mx MEX,FW,31-107,32,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,1,5,20.0,0,2,0,1,1,8cec06e1,5cc3bd0e,b561db50,361ca564,1,8cec06e1,0,1,5,20.0,23,0,0,3,0.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,7,0,0,3,4,3,7,1,1,100.0,0,0.0,2,14,13,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66.7
18,João Moutinho,28,pt POR,CM,35-346,57,0,0,0,0,0,0,0,0,49,1,0,0,0.0,0.0,0.1,6,0,39,48,81.3,4,19,2,0,0,8cec06e1,5cc3bd0e,f5a00fa4,361ca564,1,8cec06e1,0,39,48,81.3,786,161,11,11,100.0,21,25,84.0,6,8,75.0,0,0.1,0.1,4,3,1,0,4,48,45,3,2,0,1,2,0,1,0,1,0,39,0,2,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,49,1,11,28,11,0,49,0,0,,0,,19,101,66,2,1,0,0,0,37,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,
19,Leander Dendoncker,32,be BEL,CM,27-127,33,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,1,0,7,11,63.6,0,4,0,0,0,8cec06e1,5cc3bd0e,5a7301ae,361ca564,1,8cec06e1,0,7,11,63.6,137,17,3,5,60.0,3,3,100.0,1,1,100.0,0,0.0,0.0,1,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,7,0,2,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,12,0,3,8,1,1,12,0,0,,0,,4,21,2,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
20,Rúben Neves,8,pt POR,CM,25-160,90,0,0,0,0,3,1,0,0,77,2,3,0,0.1,0.1,0.1,8,0,61,68,89.7,8,27,2,0,0,8cec06e1,5cc3bd0e,44bfb6c5,361ca564,1,8cec06e1,0,61,68,89.7,1490,277,14,14,100.0,31,32,96.9,16,22,72.7,0,0.1,0.1,3,7,1,0,8,68,62,6,3,0,2,3,0,3,2,1,0,61,0,0,2,2,0,2,0,0,1,0.0,1,0,0,0,3,5,1,0,77,4,14,42,22,0,77,0,0,,0,,27,206,140,2,1,0,0,0,51,0,0,0,0,1,1,0,3,3,2,0,0,0,11,0,1,0.0
21,Matheus Nunes,27,pt POR,CM,23-358,90,0,0,0,0,4,0,0,0,42,3,0,0,0.1,0.1,0.0,3,0,29,31,93.5,4,16,0,2,1,8cec06e1,5cc3bd0e,e6af02e0,361ca564,1,8cec06e1,0,29,31,93.5,518,93,17,17,100.0,6,6,100.0,5,7,71.4,0,0.0,0.0,1,5,0,0,4,31,31,0,0,0,2,1,0,0,0,0,0,29,0,0,3,2,2,1,0,3,3,100.0,0,0,0,0,0,3,0,0,42,0,4,19,21,3,42,2,1,50.0,1,50.0,16,75,24,0,2,0,0,1,32,6,0,0,0,1,1,0,1,0,2,0,0,0,5,1,0,100.0
22,Rayan Aït Nouri,3,dz ALG,WB,21-075,70,0,0,0,0,1,1,1,0,56,3,0,0,0.1,0.1,0.0,2,0,34,40,85.0,4,25,0,5,2,8cec06e1,5cc3bd0e,9b398aea,361ca564,1,8cec06e1,0,34,40,85.0,450,139,18,20,90.0,14,16,87.5,0,1,0.0,0,0.0,0.0,0,0,1,0,4,40,36,4,0,0,0,2,4,0,0,0,0,34,0,0,3,1,3,0,0,1,2,50.0,1,0,0,0,0,3,5,0,56,4,18,18,20,3,56,5,2,40.0,3,60.0,25,83,23,0,0,0,1,1,38,6,1,0,0,2,0,0,2,0,1,0,0,0,1,0,0,
23,Nélson Semedo,22,pt POR,WB,28-277,20,0,0,0,0,1,0,0,0,13,3,0,0,0.0,0.0,0.0,2,0,7,10,70.0,2,9,0,0,0,8cec06e1,5cc3bd0e,d04b94db,361ca564,1,8cec06e1,0,7,10,70.0,132,40,2,3,66.7,4,5,80.0,1,2,50.0,0,0.0,0.0,1,1,1,0,2,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0,3,3,3,0,0,2,3,66.7,1,0,0,0,0,3,0,0,13,0,4,2,7,1,13,0,0,,0,,9,47,25,0,0,0,0,1,10,3,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,
24,Pedro Neto,7,pt POR,WB,22-164,70,0,0,0,0,1,0,0,0,36,0,0,1,0.0,0.0,0.1,5,0,20,27,74.1,0,24,2,2,0,8cec06e1,5cc3bd0e,7ba2eaa9,361ca564,1,8cec06e1,0,20,27,74.1,367,38,10,13,76.9,6,8,75.0,3,4,75.0,0,0.1,0.1,3,2,0,0,0,27,23,4,2,0,1,6,1,1,0,1,0,20,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,36,1,7,11,18,2,36,2,0,0.0,2,100.0,24,207,90,2,1,1,0,1,24,9,0,0,0,0,1,0,6,0,0,0,0,0,4,0,1,0.0
25,Adama Traoré,37,es ESP,WB,26-207,20,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,6,8,75.0,1,7,3,4,2,8cec06e1,5cc3bd0e,9a28eba4,361ca564,1,8cec06e1,0,6,8,75.0,147,14,3,4,75.0,1,1,100.0,2,3,66.7,0,0.0,0.0,0,1,0,0,1,8,8,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,13,0,1,8,5,0,13,4,2,50.0,2,50.0,7,148,85,3,1,0,1,0,9,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,
26,Max Kilman,23,eng ENG,CB,25-089,90,0,0,0,0,1,0,0,0,67,1,1,3,0.0,0.0,0.0,0,0,46,54,85.2,5,21,0,0,0,8cec06e1,5cc3bd0e,d0f72bf1,361ca564,1,8cec06e1,0,46,54,85.2,849,345,14,14,100.0,32,34,94.1,0,5,0.0,0,0.0,0.0,0,4,0,0,5,54,53,1,1,0,0,0,0,0,0,0,0,46,0,1,1,1,1,0,0,1,1,100.0,0,3,1,2,1,2,6,0,67,16,39,27,2,1,67,0,0,,0,,21,153,99,0,0,0,0,0,42,0,0,0,0,0,0,0,0,1,1,0,0,0,4,2,1,66.7
27,Nathan Collins,4,ie IRL,CB,21-112,90,0,0,0,0,0,0,1,0,67,1,0,2,0.0,0.0,0.0,0,0,50,58,86.2,5,30,1,2,2,8cec06e1,5cc3bd0e,a8c19eb8,361ca564,1,8cec06e1,0,50,58,86.2,896,202,17,18,94.4,29,33,87.9,2,5,40.0,0,0.0,0.0,0,4,0,0,5,58,56,2,2,0,0,0,0,0,0,0,0,50,0,0,1,0,1,0,0,0,2,0.0,2,2,1,1,0,1,2,0,67,11,34,29,4,1,67,2,2,100.0,0,0.0,30,180,68,1,1,1,0,1,45,0,1,0,0,3,0,0,0,0,0,0,0,0,7,2,0,100.0
28,Jonny Castro,19,es ESP,CB,28-170,90,0,0,0,0,2,0,0,0,90,2,0,1,0.0,0.0,0.0,1,0,68,78,87.2,4,33,2,2,1,8cec06e1,5cc3bd0e,e28868f3,361ca564,1,8cec06e1,0,68,78,87.2,1115,283,35,38,92.1,23,25,92.0,7,9,77.8,0,0.0,0.0,0,4,1,1,4,78,67,11,1,0,0,1,10,0,0,0,0,68,0,2,2,1,1,1,0,1,2,50.0,1,1,0,1,0,2,4,0,90,4,30,40,20,0,90,2,1,50.0,1,50.0,33,199,116,2,2,0,0,1,63,3,0,0,0,0,1,0,1,0,1,0,0,0,5,1,0,100.0
29,José Sá,1,pt POR,GK,29-215,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,20,29,69.0,0,15,0,0,0,8cec06e1,5cc3bd0e,903b6e8b,361ca564,1,8cec06e1,0,20,29,69.0,612,465,5,5,100.0,7,7,100.0,8,17,47.1,0,0.0,0.0,0,3,0,0,0,29,19,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,30,30,30,0,0,0,30,0,0,,0,,15,103,64,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,Jamie Vardy,9,eng ENG,FW,35-221,64,0,0,0,0,1,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,2,4,50.0,0,5,0,0,0,a2d435b3,02efd4d1,45963054,a2d435b3,1,33c895d4,2,2,4,50.0,27,7,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,11,2,3,3,5,1,11,0,0,,0,,5,15,1,0,0,1,1,0,6,5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,25.0
