,0,1
Carney Chukwuemeka,"15,00 mio. €",20 oct. 2003 (19)
Mason Mount,"60,00 mio. €",10 janv. 1999 (24)
Kai Havertz,"55,00 mio. €",11 juin 1999 (24)
Harvey Vale,"2,00 mio. €",11 sept. 2003 (19)
Omari Hutchinson,"1,00 mio. €",29 oct. 2003 (19)
Raheem Sterling,"55,00 mio. €",8 déc. 1994 (28)
João Félix,"50,00 mio. €",10 nov. 1999 (23)
Mykhaylo Mudryk,"50,00 mio. €",5 janv. 2001 (22)
Callum Hudson-Odoi,"15,00 mio. €",7 nov. 2000 (22)
Noni Madueke,"30,00 mio. €",10 mars 2002 (21)
Christian Pulisic,"25,00 mio. €",18 sept. 1998 (24)
Hakim Ziyech,"16,00 mio. €",19 mars 1993 (30)
Armando Broja,"28,00 mio. €",10 sept. 2001 (21)
David Datro Fofana,"10,00 mio. €",22 déc. 2002 (20)
Pierre-Emerick Aubameyang,"4,00 mio. €",18 juin 1989 (34)
Dean Henderson,"18,00 mio. €",12 mars 1997 (26)
David de Gea,"13,00 mio. €",7 nov. 1990 (32)
Matej Kovar,"1,80 mio. €",17 mai 2000 (23)
Martin Dúbravka,"1,50 mio. €",15 janv. 1989 (34)
Jack Butland,"1,50 mio. €",10 mars 1993 (30)
Tom Heaton,500 K €,15 avr. 1986 (37)
Nathan Bishop,300 K €,15 oct. 1999 (23)
Radek Vitek,150 K €,24 oct. 2003 (19)
Lisandro Martínez,"50,00 mio. €",18 janv. 1998 (25)
Raphaël Varane,"35,00 mio. €",25 avr. 1993 (30)
Harry Maguire,"20,00 mio. €",5 mars 1993 (30)
Victor Lindelöf,"18,00 mio. €",17 juil. 1994 (28)
Axel Tuanzebe,"4,50 mio. €",14 nov. 1997 (25)
Teden Mengi,"2,00 mio. €",30 avr. 2002 (21)
Phil Jones,"1,50 mio. €",21 févr. 1992 (31)
Tyler Fredricson,250 K €,23 févr. 2005 (18)
Rhys Bennett,-,30 oct. 2003 (19)
Luke Shaw,"42,00 mio. €",12 juil. 1995 (27)
Tyrell Malacia,"22,00 mio. €",17 août 1999 (23)
Brandon Williams,"7,00 mio. €",3 sept. 2000 (22)
Álvaro Carreras,"7,00 mio. €",23 mars 2003 (20)
Diogo Dalot,"40,00 mio. €",18 mars 1999 (24)
Aaron Wan-Bissaka,"25,00 mio. €",26 nov. 1997 (25)
Marc Jurado,-,13 avr. 2004 (19)
Casemiro,"40,00 mio. €",23 févr. 1992 (31)
Scott McTominay,"25,00 mio. €",8 déc. 1996 (26)
James Garner,"14,00 mio. €",13 mars 2001 (22)
Christian Eriksen,"22,00 mio. €",14 févr. 1992 (31)
Marcel Sabitzer,"20,00 mio. €",17 mars 1994 (29)
Fred,"20,00 mio. €",5 mars 1993 (30)
Donny van de Beek,"13,00 mio. €",18 avr. 1997 (26)
Zidane Iqbal,"1,00 mio. €",27 avr. 2003 (20)
Kobbie Mainoo,800 K €,19 avr. 2005 (18)
Bruno Fernandes,"75,00 mio. €",8 sept. 1994 (28)
Hannibal,"8,00 mio. €",21 janv. 2003 (20)
Shola Shoretire,"4,00 mio. €",2 févr. 2004 (19)
Marcus Rashford,"80,00 mio. €",31 oct. 1997 (25)
Jadon Sancho,"45,00 mio. €",25 mars 2000 (23)
Alejandro Garnacho,"25,00 mio. €",1 juil. 2004 (18)
Anthony Elanga,"18,00 mio. €",27 avr. 2002 (21)
Antony,"60,00 mio. €",24 févr. 2000 (23)
Amad Diallo,"18,00 mio. €",11 juil. 2002 (20)
Facundo Pellistri,"6,00 mio. €",20 déc. 2001 (21)
Mason Greenwood,-,1 oct. 2001 (21)
Cristiano Ronaldo,"15,00 mio. €",5 févr. 1985 (38)
Anthony Martial,"15,00 mio. €",5 déc. 1995 (27)
Wout Weghorst,"12,00 mio. €",7 août 1992 (30)
Charlie McNeill,200 K €,9 sept. 2003 (19)
Alisson,"35,00 mio. €",2 oct. 1992 (30)
Caoimhín Kelleher,"12,00 mio. €",23 nov. 1998 (24)
Adrián,800 K €,3 janv. 1987 (36)
Harvey Davies,300 K €,3 sept. 2003 (19)
Ibrahima Konaté,"38,00 mio. €",25 mai 1999 (24)
Virgil van Dijk,"35,00 mio. €",8 juil. 1991 (31)
Joe Gomez,"22,00 mio. €",23 mai 1997 (26)
Joel Matip,"12,00 mio. €",8 août 1991 (31)
Sepp van den Berg,"5,00 mio. €",20 déc. 2001 (21)
Nathaniel Phillips,"4,00 mio. €",21 mars 1997 (26)
Rhys Williams,"2,00 mio. €",3 févr. 2001 (22)
Jarell Quansah,400 K €,29 janv. 2003 (20)
Andrew Robertson,"40,00 mio. €",11 mars 1994 (29)
Konstantinos Tsimikas,"18,00 mio. €",12 mai 1996 (27)
Luke Chambers,300 K €,24 juin 2004 (19)
Trent Alexander-Arnold,"65,00 mio. €",7 oct. 1998 (24)
Calvin Ramsay,"5,00 mio. €",31 juil. 2003 (19)
Fabinho,"42,00 mio. €",23 oct. 1993 (29)
Stefan Bajcetic,"13,00 mio. €",22 oct. 2004 (18)
Curtis Jones,"22,00 mio. €",30 janv. 2001 (22)
Thiago,"15,00 mio. €",11 avr. 1991 (32)
Arthur Melo,"15,00 mio. €",12 août 1996 (26)
Naby Keïta,"12,00 mio. €",10 févr. 1995 (28)
Jordan Henderson,"10,00 mio. €",17 juin 1990 (33)
Alex Oxlade-Chamberlain,"7,00 mio. €",15 août 1993 (29)
James Milner,"1,50 mio. €",4 janv. 1986 (37)
Bobby Clark,350 K €,7 févr. 2005 (18)
Jake Cain,200 K €,2 sept. 2001 (21)
Harvey Elliott,"35,00 mio. €",4 avr. 2003 (20)
Fábio Carvalho,"16,00 mio. €",30 août 2002 (20)
Melkamu Frauendorf,-,12 janv. 2004 (19)
Luis Díaz,"75,00 mio. €",13 janv. 1997 (26)
Diogo Jota,"50,00 mio. €",4 déc. 1996 (26)
Mohamed Salah,"65,00 mio. €",15 juin 1992 (31)
Ben Doak,-,11 nov. 2005 (17)
Darwin Núñez,"65,00 mio. €",24 juin 1999 (24)
Cody Gakpo,"55,00 mio. €",7 mai 1999 (24)
Roberto Firmino,"18,00 mio. €",2 oct. 1991 (31)
Layton Stewart,-,3 sept. 2002 (20)
Hugo Lloris,"3,00 mio. €",26 déc. 1986 (36)
Fraser Forster,"1,50 mio. €",17 mars 1988 (35)
Alfie Whiteman,500 K €,2 oct. 1998 (24)
Brandon Austin,300 K €,8 janv. 1999 (24)
Cristian Romero,"60,00 mio. €",27 avr. 1998 (25)
Eric Dier,"18,00 mio. €",15 janv. 1994 (29)
Davinson Sánchez,"15,00 mio. €",12 juin 1996 (27)
Clément Lenglet,"10,00 mio. €",17 juin 1995 (28)
Japhet Tanganga,"7,00 mio. €",31 mars 1999 (24)
Ben Davies,"15,00 mio. €",24 avr. 1993 (30)
Pedro Porro,"40,00 mio. €",13 sept. 1999 (23)
Emerson Royal,"20,00 mio. €",14 janv. 1999 (24)
Djed Spence,"10,00 mio. €",9 août 2000 (22)
Matt Doherty,"5,00 mio. €",16 janv. 1992 (31)
Pierre-Emile Højbjerg,"45,00 mio. €",5 août 1995 (27)
Oliver Skipp,"15,00 mio. €",16 sept. 2000 (22)
Harvey White,600 K €,19 sept. 2001 (21)
Matthew Craig,-,16 avr. 2003 (20)
George Abbott,-,17 août 2005 (17)
Rodrigo Bentancur,"40,00 mio. €",25 juin 1997 (26)
Yves Bissouma,"18,00 mio. €",30 août 1996 (26)
Pape Matar Sarr,"15,00 mio. €",14 sept. 2002 (20)
Ryan Sessegnon,"18,00 mio. €",18 mai 2000 (23)
Ivan Perisic,"7,00 mio. €",2 févr. 1989 (34)
Alfie Devine,900 K €,1 août 2004 (18)
Arnaut Danjuma,"25,00 mio. €",31 janv. 1997 (26)
Bryan Gil,"15,00 mio. €",11 févr. 2001 (22)
Yago Santiago,-,15 avr. 2003 (20)
Dejan Kulusevski,"50,00 mio. €",25 avr. 2000 (23)
Lucas Moura,"6,00 mio. €",13 août 1992 (30)
Romaine Mundle,300 K €,24 avr. 2003 (20)
Harry Kane,"90,00 mio. €",28 juil. 1993 (29)
Heung-min Son,"50,00 mio. €",8 juil. 1992 (30)
Richarlison,"48,00 mio. €",10 mai 1997 (26)
Nick Pope,"20,00 mio. €",19 avr. 1992 (31)
Martin Dúbravka,"1,50 mio. €",15 janv. 1989 (34)
Loris Karius,"1,20 mio. €",22 juin 1993 (30)
Karl Darlow,"1,00 mio. €",8 oct. 1990 (32)
Mark Gillespie,300 K €,27 mars 1992 (31)
Sven Botman,"45,00 mio. €",12 janv. 2000 (23)
Fabian Schär,"10,00 mio. €",20 déc. 1991 (31)
Jamaal Lascelles,"4,50 mio. €",11 nov. 1993 (29)
Paul Dummett,"1,00 mio. €",26 sept. 1991 (31)
Federico Fernández,700 K €,21 févr. 1989 (34)
Ciaran Clark,600 K €,26 sept. 1989 (33)
Kell Watts,300 K €,3 nov. 1999 (23)
Matt Targett,"13,00 mio. €",18 sept. 1995 (27)
Dan Burn,"10,00 mio. €",9 mai 1992 (31)
Jamal Lewis,"6,00 mio. €",25 janv. 1998 (25)
Kieran Trippier,"11,00 mio. €",19 sept. 1990 (32)
Emil Krafth,"3,00 mio. €",2 août 1994 (28)
Javier Manquillo,"2,50 mio. €",5 mai 1994 (29)
Harrison Ashby,"1,00 mio. €",14 nov. 2001 (21)
Bruno Guimarães,"70,00 mio. €",16 nov. 1997 (25)
Isaac Hayden,"3,50 mio. €",22 mars 1995 (28)
Joelinton,"42,00 mio. €",14 août 1996 (26)
