,0,1
Ben Johnson,"10,00 mio. €",24 janv. 2000 (23)
Vladimir Coufal,"9,00 mio. €",22 août 1992 (30)
Harrison Ashby,"1,00 mio. €",14 nov. 2001 (21)
Declan Rice,"90,00 mio. €",14 janv. 1999 (24)
Tomas Soucek,"35,00 mio. €",27 févr. 1995 (28)
Conor Coventry,"1,80 mio. €",25 mars 2000 (23)
Pierre Ekwah,500 K €,15 janv. 2002 (21)
Keenan Appiah-Forson,300 K €,16 oct. 2001 (21)
Freddie Potts,250 K €,12 sept. 2003 (19)
Flynn Downes,"9,00 mio. €",20 janv. 1999 (24)
Lewis Orford,-,18 févr. 2006 (17)
Dan Chesters,250 K €,4 avr. 2002 (21)
Lucas Paquetá,"45,00 mio. €",27 août 1997 (25)
Pablo Fornals,"22,00 mio. €",22 févr. 1996 (27)
Nikola Vlašić,"17,00 mio. €",4 oct. 1997 (25)
Manuel Lanzini,"6,00 mio. €",15 févr. 1993 (30)
Kamarai Swyer,150 K €,4 déc. 2002 (20)
Saïd Benrahma,"25,00 mio. €",10 août 1995 (27)
Maxwel Cornet,"12,00 mio. €",27 sept. 1996 (26)
Armstrong Oko-Flex,500 K €,2 mars 2002 (21)
Jarrod Bowen,"38,00 mio. €",20 déc. 1996 (26)
Gianluca Scamacca,"22,00 mio. €",1 janv. 1999 (24)
Danny Ings,"12,00 mio. €",23 juil. 1992 (30)
Michail Antonio,"7,00 mio. €",28 mars 1990 (33)
Divin Mubama,250 K €,25 oct. 2004 (18)
Gavin Bazunu,"15,00 mio. €",20 févr. 2002 (21)
Alex McCarthy,"1,20 mio. €",3 déc. 1989 (33)
Willy Caballero,150 K €,28 sept. 1981 (41)
Armel Bella-Kotchap,"20,00 mio. €",11 déc. 2001 (21)
Mohammed Salisu,"18,00 mio. €",17 avr. 1999 (24)
Jan Bednarek,"14,00 mio. €",12 avr. 1996 (27)
Duje Caleta-Car,"11,00 mio. €",17 sept. 1996 (26)
Lyanco,"3,50 mio. €",1 févr. 1997 (26)
Jack Stephens,"3,50 mio. €",27 janv. 1994 (29)
Dynel Simeu,800 K €,13 mars 2002 (21)
Nico Lawrence,-,22 nov. 2003 (19)
Romain Perraud,"12,00 mio. €",22 sept. 1997 (25)
Juan Larios,"7,00 mio. €",12 janv. 2004 (19)
Kyle Walker-Peters,"25,00 mio. €",13 avr. 1997 (26)
Tino Livramento,"25,00 mio. €",12 nov. 2002 (20)
Yan Valery,"2,00 mio. €",22 févr. 1999 (24)
James Bree,"2,00 mio. €",11 déc. 1997 (25)
Lewis Payne,200 K €,30 mai 2004 (19)
Roméo Lavia,"32,00 mio. €",6 janv. 2004 (19)
Ibrahima Diallo,"7,00 mio. €",8 mars 1999 (24)
Oriol Romeu,"5,00 mio. €",24 sept. 1991 (31)
James Ward-Prowse,"38,00 mio. €",1 nov. 1994 (28)
Carlos Alcaraz,"15,00 mio. €",30 nov. 2002 (20)
Joe Aribo,"11,00 mio. €",21 juil. 1996 (26)
Ainsley Maitland-Niles,"8,00 mio. €",29 août 1997 (25)
Stuart Armstrong,"4,50 mio. €",30 mars 1992 (31)
Will Smallbone,"3,50 mio. €",21 févr. 2000 (23)
Ryan Finnigan,250 K €,23 sept. 2003 (19)
Diamond Edwards,150 K €,18 sept. 2003 (19)
Kamari Doyle,-,1 août 2005 (17)
Kamaldeen Sulemana,"22,00 mio. €",15 févr. 2002 (21)
Mohamed Elyounoussi,"9,00 mio. €",4 août 1994 (28)
Moussa Djenepo,"8,00 mio. €",15 juin 1998 (25)
Samuel Edozie,"8,00 mio. €",28 janv. 2003 (20)
Mislav Orsic,"5,00 mio. €",29 déc. 1992 (30)
Nathan Tella,"18,00 mio. €",5 juil. 1999 (23)
Nathan Redmond,"10,00 mio. €",6 mars 1994 (29)
Theo Walcott,"1,00 mio. €",16 mars 1989 (34)
Samuel Amo-Ameyaw,-,18 juil. 2006 (16)
Ché Adams,"20,00 mio. €",13 juil. 1996 (26)
Paul Onuachu,"13,00 mio. €",28 mai 1994 (29)
Adam Armstrong,"10,00 mio. €",10 févr. 1997 (26)
Sékou Mara,"10,00 mio. €",30 juil. 2002 (20)
Dan Nlundulu,900 K €,5 févr. 1999 (24)
Dom Ballard,300 K €,1 avr. 2005 (18)
Jimmy-Jay Morgan,-,21 janv. 2006 (17)
Jordan Pickford,"22,00 mio. €",7 mars 1994 (29)
Asmir Begovic,800 K €,20 juin 1987 (36)
Eldin Jakupović,200 K €,2 oct. 1984 (38)
Andy Lonergan,150 K €,19 oct. 1983 (39)
James Tarkowski,"18,00 mio. €",19 nov. 1992 (30)
Ben Godfrey,"13,00 mio. €",15 janv. 1998 (25)
Conor Coady,"12,00 mio. €",25 févr. 1993 (30)
Michael Keane,"10,00 mio. €",11 janv. 1993 (30)
Yerry Mina,"10,00 mio. €",23 sept. 1994 (28)
Mason Holgate,"9,00 mio. €",22 oct. 1996 (26)
Reece Welch,500 K €,19 sept. 2003 (19)
Vitaliy Mykolenko,"25,00 mio. €",29 mai 1999 (24)
Rúben Vinagre,"4,00 mio. €",9 avr. 1999 (24)
Ishé Samuels-Smith,-,5 juin 2006 (17)
Nathan Patterson,"16,00 mio. €",16 oct. 2001 (21)
Seamus Coleman,"1,00 mio. €",11 oct. 1988 (34)
Kyle John,150 K €,13 févr. 2001 (22)
Amadou Onana,"45,00 mio. €",16 août 2001 (21)
James Garner,"14,00 mio. €",13 mars 2001 (22)
Allan,"6,00 mio. €",8 janv. 1991 (32)
Jean-Philippe Gbamin,"4,80 mio. €",25 sept. 1995 (27)
André Gomes,"16,00 mio. €",30 juil. 1993 (29)
Abdoulaye Doucouré,"12,00 mio. €",1 janv. 1993 (30)
Tom Davies,"9,00 mio. €",30 juin 1998 (25)
Idrissa Gueye,"5,00 mio. €",26 sept. 1989 (33)
Lewis Warrington,500 K €,10 oct. 2002 (20)
Isaac Price,400 K €,26 sept. 2003 (19)
Alex Iwobi,"28,00 mio. €",3 mai 1996 (27)
Dele Alli,"8,00 mio. €",11 avr. 1996 (27)
Sean McAllister,-,15 sept. 2002 (20)
Anthony Gordon,"35,00 mio. €",24 févr. 2001 (22)
Dwight McNeil,"20,00 mio. €",22 nov. 1999 (23)
Demarai Gray,"20,00 mio. €",28 juin 1996 (27)
Andros Townsend,"1,50 mio. €",16 juil. 1991 (31)
Stanley Mills,150 K €,25 oct. 2003 (19)
Dominic Calvert-Lewin,"25,00 mio. €",16 mars 1997 (26)
Neal Maupay,"10,00 mio. €",14 août 1996 (26)
Thomas Cannon,"5,00 mio. €",28 déc. 2002 (20)
Ellis Simms,"4,00 mio. €",5 janv. 2001 (22)
Salomón Rondón,"2,00 mio. €",16 sept. 1989 (33)
Dean Henderson,"18,00 mio. €",12 mars 1997 (26)
Keylor Navas,"4,00 mio. €",15 déc. 1986 (36)
Wayne Hennessey,400 K €,24 janv. 1987 (36)
Jordan Smith,250 K €,8 déc. 1994 (28)
Adnan Kanuric,150 K €,8 août 2000 (22)
George Shelvey,-,22 avr. 2001 (22)
Moussa Niakhaté,"18,00 mio. €",8 mars 1996 (27)
Loïc Badé,"12,00 mio. €",11 avr. 2000 (23)
Joe Worrall,"12,00 mio. €",10 janv. 1997 (26)
Scott McKenna,"10,00 mio. €",12 nov. 1996 (26)
Jonathan Panzo,"3,00 mio. €",25 oct. 2000 (22)
Willy Boly,"2,50 mio. €",3 févr. 1991 (32)
Loïc Mbe Soh,"2,00 mio. €",13 juin 2001 (22)
Felipe,"2,00 mio. €",16 mai 1989 (34)
Steve Cook,"1,80 mio. €",19 avr. 1991 (32)
Zach Abbott,250 K €,13 mai 2006 (17)
Renan Lodi,"20,00 mio. €",8 avr. 1998 (25)
Omar Richards,"5,00 mio. €",15 févr. 1998 (25)
Harry Toffolo,"3,50 mio. €",19 août 1995 (27)
Aaron Donnelly,400 K €,8 juin 2003 (20)
Neco Williams,"20,00 mio. €",13 avr. 2001 (22)
Serge Aurier,"8,00 mio. €",24 déc. 1992 (30)
Giulian Biancone,"6,00 mio. €",31 mars 2000 (23)
Cheikhou Kouyaté,"2,00 mio. €",21 déc. 1989 (33)
Jack Colback,600 K €,24 oct. 1989 (33)
Danilo,"28,00 mio. €",29 avr. 2001 (22)
Orel Mangala,"16,00 mio. €",18 mars 1998 (25)
Ryan Yates,"11,00 mio. €",21 nov. 1997 (25)
Lewis O'Brien,"8,00 mio. €",14 oct. 1998 (24)
Remo Freuler,"8,00 mio. €",15 avr. 1992 (31)
Jonjo Shelvey,"5,00 mio. €",27 févr. 1992 (31)
Cafú,600 K €,26 févr. 1993 (30)
Harry Arter,400 K €,28 déc. 1989 (33)
Oliver Hammond,250 K €,13 nov. 2002 (20)
Billy Fewster,-,31 juil. 2003 (19)
Alex Gibson-Hammond,150 K €,10 nov. 2002 (20)
Morgan Gibbs-White,"40,00 mio. €",27 janv. 2000 (23)
Gustavo Scarpa,"10,00 mio. €",5 janv. 1994 (29)
Jesse Lingard,"8,00 mio. €",15 déc. 1992 (30)
Emmanuel Dennis,"8,00 mio. €",15 nov. 1997 (25)
André Ayew,"1,80 mio. €",17 déc. 1989 (33)
Alex Mighten,600 K €,11 avr. 2002 (21)
Brennan Johnson,"38,00 mio. €",23 mai 2001 (22)
Josh Bowler,"1,80 mio. €",5 mars 1999 (24)
Taiwo Awoniyi,"25,00 mio. €",12 août 1997 (25)
Chris Wood,"8,00 mio. €",7 déc. 1991 (31)
Sam Surridge,"5,00 mio. €",28 juil. 1998 (24)
Dale Taylor,500 K €,12 déc. 2003 (19)
Lyle Taylor,300 K €,29 mars 1990 (33)
Detlef Esapa Osong,-,21 sept. 2004 (18)
David Raya,"30,00 mio. €",15 sept. 1995 (27)
Thomas Strakosha,"3,50 mio. €",19 mars 1995 (28)
Matthew Cox,500 K €,2 mai 2003 (20)
Ellery Balcombe,300 K €,15 oct. 1999 (23)
Kristoffer Ajer,"16,00 mio. €",17 avr. 1998 (25)
Ethan Pinnock,"14,00 mio. €",29 mai 1993 (30)
Mads Bech Sörensen,"2,50 mio. €",7 janv. 1999 (24)
Pontus Jansson,"2,50 mio. €",13 févr. 1991 (32)
Ben Mee,"2,00 mio. €",21 sept. 1989 (33)
Zanka,"1,50 mio. €",23 avr. 1990 (33)
Charlie Goode,600 K €,3 août 1995 (27)
Tristan Crama,100 K €,8 nov. 2001 (21)
Rico Henry,"28,00 mio. €",8 juil. 1997 (25)
Aaron Hickey,"25,00 mio. €",10 juin 2002 (21)
Mads Roerslev,"6,00 mio. €",24 juin 1999 (24)
Fin Stevens,300 K €,10 avr. 2003 (20)
Vitaly Janelt,"20,00 mio. €",10 mai 1998 (25)
Christian Nørgaard,"16,00 mio. €",10 mars 1994 (29)
Mathias Jensen,"22,00 mio. €",1 janv. 1996 (27)
Josh Dasilva,"16,00 mio. €",23 oct. 1998 (24)
Frank Onyeka,"8,00 mio. €",1 janv. 1998 (25)
Shandon Baptiste,"3,00 mio. €",8 avr. 1998 (25)
Ryan Trevitt,100 K €,12 mars 2003 (20)
Saman Ghoddos,"2,00 mio. €",6 sept. 1993 (29)
Yegor Yarmolyuk,400 K €,1 mars 2004 (19)
Yoane Wissa,"18,00 mio. €",3 sept. 1996 (26)
Mikkel Damsgaard,"13,00 mio. €",3 juil. 2000 (22)
Keane Lewis-Potter,"12,00 mio. €",22 févr. 2001 (22)
Tariqe Fosu,"1,80 mio. €",5 nov. 1995 (27)
Alex Gilbert,100 K €,28 déc. 2001 (21)
Bryan Mbeumo,"35,00 mio. €",7 août 1999 (23)
Kevin Schade,"25,00 mio. €",27 nov. 2001 (21)
Sergi Canós,"9,00 mio. €",2 févr. 1997 (26)
Michael Olakigbe,-,25 avr. 2004 (19)
Ivan Toney,"35,00 mio. €",16 mars 1996 (27)
Halil Dervişoğlu,"2,00 mio. €",8 déc. 1999 (23)
Illan Meslier,"20,00 mio. €",2 mars 2000 (23)
Kristoffer Klaesson,"1,80 mio. €",27 nov. 2000 (22)
Joel Robles,"1,00 mio. €",17 juin 1990 (33)
Dani van den Heuvel,-,28 mai 2003 (20)
Robin Koch,"18,00 mio. €",17 juil. 1996 (26)
Pascal Struijk,"18,00 mio. €",11 août 1999 (23)
Maximilian Wöber,"14,00 mio. €",4 févr. 1998 (25)
Diego Llorente,"12,00 mio. €",16 août 1993 (29)
Charlie Cresswell,"5,00 mio. €",17 août 2002 (20)
Liam Cooper,"3,00 mio. €",30 août 1991 (31)
Diogo Monteiro,500 K €,28 janv. 2005 (18)
Jeremiah Chilokoa-Mullen,-,17 juin 2004 (19)
Kris Moore,-,13 nov. 2003 (19)
James Debayo,-,11 juil. 2005 (17)
Junior Firpo,"10,00 mio. €",22 août 1996 (26)
Leo Fuhr Hjelde,"1,50 mio. €",26 août 2003 (19)
Rasmus Kristensen,"13,00 mio. €",11 juil. 1997 (25)
Cody Drameh,"3,50 mio. €",8 déc. 2001 (21)
Luke Ayling,"1,80 mio. €",25 août 1991 (31)
Stuart Dallas,"1,50 mio. €",19 avr. 1991 (32)
Tyler Adams,"18,00 mio. €",14 févr. 1999 (24)
Marc Roca,"10,00 mio. €",26 nov. 1996 (26)
Weston McKennie,"18,00 mio. €",28 août 1998 (24)
Darko Gyabi,"3,00 mio. €",18 févr. 2004 (19)
Mateusz Klich,"2,00 mio. €",13 juin 1990 (33)
Jamie Shackleton,"2,00 mio. €",8 oct. 1999 (23)
Adam Forshaw,"1,20 mio. €",8 oct. 1991 (31)
Archie Gray,200 K €,12 mars 2006 (17)
Alfie McCalmont,150 K €,25 mars 2000 (23)
Charlie Allen,-,22 nov. 2003 (19)
Joe Snowdon,-,14 févr. 2004 (19)
Brenden Aaronson,"25,00 mio. €",22 oct. 2000 (22)
Sam Greenwood,"5,00 mio. €",26 janv. 2002 (21)
Luis Sinisterra,"22,00 mio. €",17 juin 1999 (24)
Wilfried Gnonto,"18,00 mio. €",5 nov. 2003 (19)
Daniel James,"12,00 mio. €",10 nov. 1997 (25)
Amari Miller,-,4 nov. 2002 (20)
Jack Harrison,"22,00 mio. €",20 nov. 1996 (26)
Crysencio Summerville,"15,00 mio. €",30 oct. 2001 (21)
Ian Poveda,900 K €,9 févr. 2000 (23)
Georginio Rutter,"18,00 mio. €",20 avr. 2002 (21)
Patrick Bamford,"9,00 mio. €",5 sept. 1993 (29)
Joe Gelhardt,"8,00 mio. €",4 mai 2002 (21)
Rodrigo,"6,00 mio. €",6 mars 1991 (32)
Tyler Roberts,"3,00 mio. €",12 janv. 1999 (24)
Sonny Perkins,"1,20 mio. €",10 févr. 2004 (19)
Mateo Joseph,900 K €,19 oct. 2003 (19)
Sam Johnstone,"6,00 mio. €",25 mars 1993 (30)
Jack Butland,"1,50 mio. €",10 mars 1993 (30)
Vicente Guaita,"1,00 mio. €",10 janv. 1987 (36)
Joe Whitworth,900 K €,29 févr. 2004 (19)
Remi Matthews,350 K €,10 févr. 1994 (29)
Owen Goodman,150 K €,27 nov. 2003 (19)
Marc Guéhi,"35,00 mio. €",13 juil. 2000 (22)
Joachim Andersen,"30,00 mio. €",31 mai 1996 (27)
Chris Richards,"10,00 mio. €",28 mars 2000 (23)
Nathan Ferguson,"1,20 mio. €",6 oct. 2000 (22)
James Tomkins,800 K €,29 mars 1989 (34)
Kofi Balmer,200 K €,19 sept. 2000 (22)
Tyrick Mitchell,"22,00 mio. €",1 sept. 1999 (23)
Tayo Adaramola,"1,50 mio. €",14 nov. 2003 (19)
Nathaniel Clyne,"2,00 mio. €",5 avr. 1991 (32)
Joel Ward,"1,20 mio. €",29 oct. 1989 (33)
David Boateng,50 K €,8 mai 2001 (22)
Cheick Doucouré,"35,00 mio. €",8 janv. 2000 (23)
Jairo Riedewald,"3,00 mio. €",9 sept. 1996 (26)
Luka Milivojevic,"2,00 mio. €",7 avr. 1991 (32)
Kaden Rodney,250 K €,7 oct. 2004 (18)
David Ozoh,-,6 mai 2005 (18)
Albert Sambi Lokonga,"15,00 mio. €",22 oct. 1999 (23)
Naouirou Ahamada,"10,00 mio. €",29 mars 2002 (21)
Will Hughes,"5,00 mio. €",17 avr. 1995 (28)
James McArthur,400 K €,7 oct. 1987 (35)
Jack Wells-Morrison,300 K €,18 févr. 2004 (19)
Killian Phillips,150 K €,30 mars 2002 (21)
Jeffrey Schlupp,"7,00 mio. €",23 déc. 1992 (30)
Eberechi Eze,"40,00 mio. €",29 juin 1998 (25)
Wilfried Zaha,"22,00 mio. €",10 nov. 1992 (30)
Adler Nascimento,-,25 nov. 2004 (18)
Michael Olise,"38,00 mio. €",12 déc. 2001 (21)
Malcolm Ebiowei,"3,00 mio. €",4 sept. 2003 (19)
Odsonne Edouard,"15,00 mio. €",16 janv. 1998 (25)
Jean-Philippe Mateta,"7,00 mio. €",28 juin 1997 (26)
Jordan Ayew,"5,00 mio. €",11 sept. 1991 (31)
Luke Plange,"1,00 mio. €",4 nov. 2002 (20)
John-Kymani Gordon,100 K €,13 févr. 2003 (20)
Bernd Leno,"12,00 mio. €",4 mars 1992 (31)
Paulo Gazzaniga,"3,00 mio. €",2 janv. 1992 (31)
Marek Rodak,"3,00 mio. €",13 déc. 1996 (26)
George Wickens,250 K €,8 nov. 2001 (21)
Issa Diop,"18,00 mio. €",9 janv. 1997 (26)
Tosin Adarabioyo,"16,00 mio. €",24 sept. 1997 (25)
Shane Duffy,"2,00 mio. €",1 janv. 1992 (31)
Tim Ream,"1,00 mio. €",5 oct. 1987 (35)
Connor McAvoy,250 K €,16 févr. 2002 (21)
Charlie Robinson,150 K €,14 sept. 2004 (18)
Antonee Robinson,"15,00 mio. €",8 août 1997 (25)
Layvin Kurzawa,"3,00 mio. €",4 sept. 1992 (30)
Joe Bryan,"2,20 mio. €",17 sept. 1993 (29)
Stefan Parkes,150 K €,28 mars 2004 (19)
Kenny Tete,"15,00 mio. €",9 oct. 1995 (27)
Kevin Mbabu,"3,50 mio. €",19 avr. 1995 (28)
Cédric Soares,"3,00 mio. €",31 août 1991 (31)
Marlon Fossey,"2,50 mio. €",9 sept. 1998 (24)
Steven Sessegnon,800 K €,18 mai 2000 (23)
Luciano D'Auria-Henry,150 K €,11 nov. 2002 (20)
João Palhinha,"40,00 mio. €",9 juil. 1995 (27)
Nathaniel Chalobah,"1,80 mio. €",12 déc. 1994 (28)
Harrison Reed,"18,00 mio. €",27 janv. 1995 (28)
Sasa Lukic,"12,00 mio. €",13 août 1996 (26)
Tom Cairney,"2,00 mio. €",20 janv. 1991 (32)
Josh Onomah,"1,50 mio. €",27 avr. 1997 (26)
Tyrese Francois,500 K €,16 juil. 2000 (22)
Adrion Pajaziti,200 K €,16 nov. 2002 (20)
Matt Dibley-Dias,-,29 oct. 2003 (19)
Andreas Pereira,"18,00 mio. €",1 janv. 1996 (27)
Bobby De Cordova-Reid,"7,00 mio. €",2 févr. 1993 (30)
Luke Harris,500 K €,4 mars 2005 (18)
Kristian Sekularac,150 K €,7 déc. 2003 (19)
Manor Solomon,"18,00 mio. €",24 juil. 1999 (23)
Daniel James,"12,00 mio. €",10 nov. 1997 (25)
Willian,"3,00 mio. €",9 août 1988 (34)
Neeskens Kebano,"2,00 mio. €",10 mars 1992 (31)
Ollie O'Neill,250 K €,8 janv. 2003 (20)
Martial Godo,100 K €,14 mars 2003 (20)
Harry Wilson,"16,00 mio. €",22 mars 1997 (26)
Anthony Knockaert,900 K €,20 nov. 1991 (31)
Aleksandar Mitrovic,"28,00 mio. €",16 sept. 1994 (28)
Carlos Vinícius,"6,00 mio. €",25 mars 1995 (28)
Rodrigo Muniz,"5,00 mio. €",4 mai 2001 (22)
Jay Stansfield,"1,20 mio. €",24 nov. 2002 (20)
Terry Ablade,200 K €,12 oct. 2001 (21)
Callum McFarlane,-,8 sept. 2003 (19)
Neto,"2,50 mio. €",19 juil. 1989 (33)
Mark Travers,"2,00 mio. €",18 mai 1999 (24)
Darren Randolph,400 K €,12 mai 1987 (36)
Will Dennis,150 K €,10 juil. 2000 (22)
Cameron Plain,100 K €,24 sept. 2001 (21)
Marcos Senesi,"22,00 mio. €",10 mai 1997 (26)
Ilya Zabarnyi,"20,00 mio. €",1 sept. 2002 (20)
Lloyd Kelly,"18,00 mio. €",6 oct. 1998 (24)
Chris Mepham,"8,00 mio. €",5 nov. 1997 (25)
Jack Stephens,"3,50 mio. €",27 janv. 1994 (29)
James Hill,"1,00 mio. €",10 janv. 2002 (21)
Chris Francis,-,15 nov. 2002 (20)
Owen Bevan,-,26 oct. 2003 (19)
Maxwell Kinsey-Wellings,-,2 févr. 2005 (18)
Matías Viña,"8,00 mio. €",9 nov. 1997 (25)
Jordan Zemura,"6,00 mio. €",14 nov. 1999 (23)
Ben Greenwood,100 K €,20 févr. 2003 (20)
Jack Stacey,"2,00 mio. €",6 avr. 1996 (27)
Ryan Fredericks,"1,50 mio. €",10 oct. 1992 (30)
Adam Smith,"1,20 mio. €",29 avr. 1991 (32)
Brooklyn Genesini,50 K €,18 nov. 2001 (21)
Jefferson Lerma,"20,00 mio. €",25 oct. 1994 (28)
Ben Pearson,"2,20 mio. €",4 janv. 1995 (28)
Jack Wadham,100 K €,25 févr. 2003 (20)
Dominic Sadi,100 K €,2 sept. 2003 (19)
Philip Billing,"20,00 mio. €",11 juin 1996 (27)
Lewis Cook,"10,00 mio. €",3 févr. 1997 (26)
Joe Rothwell,"4,00 mio. €",11 janv. 1995 (28)
Gavin Kilkenny,400 K €,1 févr. 2000 (23)
Marcus Tavernier,"17,00 mio. €",22 mars 1999 (24)
Hamed Junior Traorè,"22,00 mio. €",16 févr. 2000 (23)
Ryan Christie,"10,00 mio. €",22 févr. 1995 (28)
Emiliano Marcondes,"1,50 mio. €",9 mars 1995 (28)
Ferdinand Okoh,-,3 juin 2004 (19)
Jaidon Anthony,"9,00 mio. €",1 déc. 1999 (23)
Siriki Dembélé,"2,00 mio. €",7 sept. 1996 (26)
Junior Stanislas,500 K €,26 nov. 1989 (33)
Michael Dacosta,-,5 mars 2005 (18)
Dango Ouattara,"25,00 mio. €",11 févr. 2002 (21)
David Brooks,"12,00 mio. €",8 juil. 1997 (25)
Antoine Semenyo,"9,00 mio. €",7 janv. 2000 (23)
Jamal Lowe,"1,50 mio. €",21 juil. 1994 (28)
Dominic Solanke,"20,00 mio. €",14 sept. 1997 (25)
Kieffer Moore,"4,00 mio. €",8 août 1992 (30)
Christian Saydee,400 K €,10 mai 2002 (21)
Euan Pollock,-,3 oct. 2002 (20)
Daniel Adu-Adjei,-,21 juin 2005 (18)
